FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ccc.11,POINT (-10.339146000287636 8.46154100011711),10,SLE_0036,Koindu,Open,EHC,SLE0101,16,20,1899-12-30T00:00:00,MoH,GOSL,8.461541,-10.339146,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.12,POINT (-10.372337000252314 8.275730000139443),11,SLE_0037,Buedu,Open,EHC,SLE0101,10,10,1899-12-30T00:00:00,MoH,GOSL,8.27573,-10.372337,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.13,POINT (-10.84431600028314 7.990088000061203),12,SLE_0038,Daru,Open,EHC,SLE0101,16,20,1899-12-30T00:00:00,MoH,GOSL,7.990088,-10.844316,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.14,POINT (-11.185213999826185 7.875364000248461),13,SLE_0039,Kenema Gov. Hospital,Closed,EHC,SLE0102,24,24,1899-12-30T00:00:00,MoH,GOSL,7.875364,-11.185214,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.15,POINT (-12.769031619113886 8.76972330039005),14,SLE_0040,Port Loko Gov. Hospital EHC,Open,EHC,SLE0204,62,62,2014-12-01T00:00:00,MoH,GOSL,8.769723,-12.769032,CDC Checked Coordinate,2014-12-15T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.16,POINT (-13.121609999901528 8.37416999994559),15,SLE_0041,Lungi Hospital,Closed,EHC,SLE0204,16,16,1899-12-30T00:00:00,MoH,GOSL,8.37417,-13.12161,CDC Checked Coordinate,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.17,POINT (-12.747766000000853 8.489200000379762),17,SLE_0043,Masiaka,Open,EHC,SLE0204,4,4,1899-12-30T00:00:00,MoH,GOSL,8.4892,-12.747766,DFID checked coordinate,2014-11-16T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.18,POINT (-12.511249999987463 8.858361000160079),18,SLE_0044,Kamasondu,Open,CCC,SLE0204,16,16,1899-12-30T00:00:00,Plan/PIH,GOSL,8.858361,-12.51125,WHO Checked Coordinate,2014-11-28T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.19,POINT (-12.670194000252863 8.960499999675294),19,SLE_0045,Kagbanthama,Open,EHC,SLE0204,12,12,1899-12-30T00:00:00,Plan/MoH,GOSL,8.9605,-12.670194,WHO Checked Coordinate,2014-11-28T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.20,POINT (-13.064560000443619 8.416920000058004),22,SLE_0049,Lokomasama (Petifu Junction),Open,EHC,SLE0204,60,60,2014-11-23T00:00:00,MoH/Shepherd Hospices/PIH,GOSL,8.41692,-13.06456,DFID checked coordinate,2014-11-28T00:00:00,No,Sierra Leone,
